"Event_Id","Pin","Message","Date",
"155365","Administrator","Email with subject Your CMTBC Exam PIN for Mark Dennis sent","2013-09-04 16:19:29",
"155364","admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-09-04 16:19:10",
"155363","admin01","Administrator Logged In","2013-09-04 16:19:10",
"155362","admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-09-04 16:18:56",
"155361","admin01","Administrator Logged In","2013-09-04 16:18:56",
"155360","Administrator","Email with subject Your CMTBC Exam PIN sent","2013-09-04 16:01:10",
"155359","admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-09-04 16:00:54",
"155358","admin01","Administrator Logged In","2013-09-04 16:00:54",
"155357","Administrator","Email with subject Your CMTBC Exam PIN sent","2013-09-04 15:25:10",
"155356","Administrator","Email with subject Your CMTBC Exam PIN sent","2013-09-04 15:20:09",
"155355","Administrator","Email with subject Your CMTBC Exam PIN sent","2013-09-04 15:19:36",
"155354","Administrator","Email with subject Your CMTBC Exam PIN sent","2013-09-04 15:07:26",
"155353","Administrator","Email with subject Your CMTBC Exam PIN sent","2013-09-04 14:57:03",
"155352","Administrator","Email with subject Your CMTBC Exam PIN sent","2013-09-04 14:49:59",
"155351","Administrator","Email with subject Your CMTBC Exam PIN sent","2013-09-04 14:45:10",
"155350","Administrator","Email with subject Your CMTBC Exam PIN sent","2013-09-04 14:36:44",
"155349","Administrator","Email with subject Your CMTBC Exam PIN sent","2013-09-04 14:32:11",
"155348","Administrator","Email with subject Your CMTBC Exam PIN sent","2013-09-04 14:28:11",
"155347","Administrator","Email with subject Your CMTBC Exam PIN sent","2013-09-04 14:26:30",
"155346","Administrator","Email with subject Your CMTBC Exam PIN sent","2013-09-04 14:23:50",
"155345","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-09-04 14:23:32",
"155344","Admin01","Administrator Logged In","2013-09-04 14:23:32",
"155343","Administrator","Email with subject Your CMTBC Exam PIN sent","2013-09-04 14:15:12",
"155342","Administrator","Email with subject Your CMTBC Exam PIN sent","2013-09-04 14:12:44",
"155341","Administrator","Logged out","2013-09-04 14:11:24",
"155340","Administrator","Email with subject Your CMTBC Exam PIN sent","2013-09-04 14:09:08",
"155339","Administrator","Email with subject Your CMTBC Exam PIN sent","2013-09-04 14:06:59",
"155338","Administrator","220 mail.veritagroup.com
<br /><pre>hello: </pre>The following SMTP error was e","2013-09-04 14:06:04",
"155337","Administrator","Email with subject Your CMTBC Exam PIN sent","2013-09-04 14:06:04",
"155336","admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-09-04 14:04:07",
"155335","admin01","Administrator Logged In","2013-09-04 14:04:07",
"155334","Administrator","220 mail.veritagroup.com
<br /><pre>hello: </pre>The following SMTP error was e","2013-09-04 14:04:04",
"155333","Administrator","Email with subject Your CMTBC Exam PIN sent","2013-09-04 14:04:04",
"155332","admin01","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:23.0) Gecko/20100101 Firefox/23.0","2013-09-04 14:03:15",
"155331","admin01","Administrator Logged In","2013-09-04 14:03:15",
"155330","admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-09-04 14:00:59",
"155329","admin01","Administrator Logged In","2013-09-04 14:00:59",
"155328","Administrator","220 mail.veritagroup.com
<br /><pre>hello: </pre>The following SMTP error was e","2013-09-04 14:00:54",
"155327","Administrator","Email with subject Your CMTBC Exam PIN sent","2013-09-04 14:00:54",
"155326","Administrator","220 barracuda.seatosky.com ESMTP (52ffd1042aea0bfadba5c6471664db0b)
<br /><pre>","2013-09-04 13:52:09",
"155325","Administrator","Email with subject Your CMTBC Exam PIN sent","2013-09-04 13:52:09",
"155324","Administrator","Email with subject Your CMTBC Exam PIN sent","2013-09-04 13:51:05",
"155323","Administrator","Email with subject Your CMTBC Exam PIN sent","2013-09-04 13:46:24",
"155322","Administrator","Email with subject Your CMTBC Exam PIN sent","2013-09-04 13:36:07",
"155321","Mark Dennis","Email with subject Examinee marktest7 has completed their exam sent","2013-09-04 12:29:18",
"155320","marktest7","Exam end","2013-09-04 12:29:17",
"155319","marktest7","Exam started first attempt","2013-09-04 12:29:07",
"155318","marktest7","Output record created and randomized questions logged","2013-09-04 12:29:07",
"155317","marktest7","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrom","2013-09-04 12:29:02",
"155316","marktest7","Examinee Logged In","2013-09-04 12:29:02",
"155315","Administrator","Email with subject Your CMTBC Exam Pin sent","2013-09-04 12:28:03",
"155314","Administrator","Email with subject Your CMTBC Exam Pin sent","2013-09-04 12:09:12",
"155313","Administrator","Email with subject Your CMTBC Exam Pin sent","2013-09-04 11:37:39",
"155312","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-09-04 11:33:59",
"155311","Admin01","Administrator Logged In","2013-09-04 11:33:59",
"155310","Administrator","Email with subject Your CMTBC Exam Pin sent","2013-09-04 10:40:37",
"155309","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-09-04 10:40:21",
"155308","Admin01","Administrator Logged In","2013-09-04 10:40:21",
"155307","Administrator","Email with subject Your CMTBC Exam Pin sent","2013-09-04 10:17:41",
"155306","Administrator","Email with subject Your CMTBC Exam Pin sent","2013-09-04 10:10:23",
"155305","admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-09-04 10:09:58",
"155304","admin01","Administrator Logged In","2013-09-04 10:09:58",
"155303","Administrator","Email with subject Your CMTBC Exam Pin sent","2013-08-28 04:19:11",
"155302","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-28 04:18:41",
"155301","Admin01","Administrator Logged In","2013-08-28 04:18:41",
"155300","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.","2013-08-27 19:30:28",
"155299","Admin01","Administrator Logged In","2013-08-27 19:30:28",
"155298","Administrator","Logged out","2013-08-27 19:30:25",
"155297","Administrator","Email with subject Archived Log File sent","2013-08-27 19:23:58",
"155296","Administrator","Log File Emptied","2013-08-27 19:23:58",
"155295","Administrator","Log File Saved","2013-08-27 19:23:58",
